normalized_location,country,status
"cologne, germany",Germany,direct_match
colombo,Unknown,unknown_fallback_cache
"colombo, pr",Puerto Rico,direct_match
colorado,Unknown,unknown_fallback_cache
"colorado springs, colorado",Unknown,unknown_fallback_cache
"columbia, missouri",Unknown,unknown_fallback_cache
"columbia, south carolina",Unknown,unknown_fallback_cache
"columbus, ohio",Unknown,unknown_fallback_cache
"como, australia",Australia,direct_match
"compton dundon, united kingdom",United Kingdom,direct_match
"conder, australia",Australia,direct_match
"congleton, united kingdom",United Kingdom,direct_match
connecticut,Unknown,unknown_fallback_cache
"consett, united kingdom",United Kingdom,direct_match
"constanta, romania",Romania,direct_match
"coogee, australia",Australia,direct_match
"cookham dean, united kingdom",United Kingdom,direct_match
"coolangatta, australia",Australia,direct_match
"coolum beach, australia",Australia,direct_match
"cooper city, florida",Unknown,unknown_fallback_cache
"cooper landing, alaska",Unknown,unknown_fallback_cache
copacabana,Unknown,unknown_fallback_cache
copenhagen,Unknown,unknown_fallback_cache
"copenhagen region, denmark",Denmark,direct_match
"copenhagen, denmark",Denmark,direct_match
"copenhagen, new york",Unknown,unknown_fallback_cache
"coquitlam, canada",Canada,direct_match
"corbridge, united kingdom",United Kingdom,direct_match
"corby, united kingdom",United Kingdom,direct_match
"cordoba, spain",Spain,direct_match
"cordova, tennessee",Unknown,unknown_fallback_cache
"corfe castle, united kingdom",United Kingdom,direct_match
"corfu, greece",Greece,direct_match
"cork, ireland",Ireland,direct_match
"cormeilles-en-parisis, france",France,direct_match
"cornwall, england",United Kingdom,direct_match
"cornwall, uk",United Kingdom,direct_match
"cornwall, united kingdom",United Kingdom,direct_match
"corona del mar, california",Morocco,direct_match
"corpus christi, texas",Unknown,unknown_fallback_cache
corsham,Unknown,unknown_fallback_cache
"corsham, united kingdom",United Kingdom,direct_match
"corwen, united kingdom",United Kingdom,direct_match
"costa da caparica, portugal",Portugal,direct_match
"costa mesa, california",Unknown,unknown_fallback_cache
"cotswolds, united kingdom",United Kingdom,direct_match
"cottonwood, arizona",Unknown,unknown_fallback_cache
"county cork, ireland",Ireland,direct_match
"county donegal, ireland",Ireland,direct_match
"county dublin, ireland",Ireland,direct_match
"county durham, united kingdom",United Kingdom,direct_match
"county mayo, ireland",Ireland,direct_match
"county meath, ireland",Ireland,direct_match
"county westmeath, ireland",Ireland,direct_match
"courchevel, france",France,direct_match
"coventry, united kingdom",United Kingdom,direct_match
"craigavon, united kingdom",United Kingdom,direct_match
"craigie, australia",Australia,direct_match
"craigieburn, australia",Australia,direct_match
"cranbourne, australia",Australia,direct_match
"cranbrook, canada",Canada,direct_match
"cranbrook, united kingdom",United Kingdom,direct_match
"cranleigh, united kingdom",United Kingdom,direct_match
"craven arms, united kingdom",United Kingdom,direct_match
"crawley, united kingdom",United Kingdom,direct_match
"cremorne, australia",Australia,direct_match
"crete, greece",Greece,direct_match
"creteil, france",France,direct_match
"crewe, united kingdom",United Kingdom,direct_match
"crieff, united kingdom",United Kingdom,direct_match
cristinegelato,Unknown,unknown_fallback_cache
croatia,Croatia,direct_match
"cromwell, new zealand",New Zealand,direct_match
"crouch end, united kingdom",United Kingdom,direct_match
"crowthorne, united kingdom",United Kingdom,direct_match
"croxley green, united kingdom",United Kingdom,direct_match
"croyde, united kingdom",United Kingdom,direct_match
"croydon, united kingdom",United Kingdom,direct_match
"cruzeiro, df",Unknown,unknown_fallback_cache
ct,Unknown,unknown_fallback_cache
"cuckfield, united kingdom",United Kingdom,direct_match
"cudrefin, switzerland",Switzerland,direct_match
"cuijk, the netherlands",Netherlands,direct_match
"culburra beach, australia",Australia,direct_match
"culcheth, united kingdom",United Kingdom,direct_match
cumbria,Unknown,unknown_fallback_cache
"cupar, united kingdom",United Kingdom,direct_match
"currumbin, australia",Australia,direct_match
"cusco, peru",Peru,direct_match
"cwmbran, united kingdom",United Kingdom,direct_match
cyprus,Cyprus,direct_match
"da nang, vietnam",Viet Nam,direct_match
"dallas, texas",Unknown,unknown_fallback_cache
"dalton-on-tees, united kingdom",United Kingdom,direct_match
"dalyan, turkiye",Unknown,unknown_fallback_cache
"dammam, saudi arabia",Saudi Arabia,direct_match
"dammartin-en-goele, france",France,direct_match
"dana point, california",Unknown,unknown_fallback_cache
"dandenong, australia",Australia,direct_match
dangriga,Unknown,unknown_fallback_cache
"danube-auen national park, austria",Austria,direct_match
"danze, france",France,direct_match
"darley dale, united kingdom",United Kingdom,direct_match
darlington,Unknown,unknown_fallback_cache
"darmstadt, germany",Germany,direct_match
"dartford, england, united kingdom",United Kingdom,direct_match
"dartford, united kingdom",United Kingdom,direct_match
"dartmouth, canada",Canada,direct_match
darwin,Unknown,unknown_fallback_cache
"darwin, australia",Australia,direct_match
"davenport, florida",Unknown,unknown_fallback_cache
"daventry, united kingdom",United Kingdom,direct_match
"dawlish, united kingdom",United Kingdom,direct_match
dawmat al jandal - ksa,Albania,direct_match
"dax, france",France,direct_match
dc,Unknown,unknown_fallback_cache
"de kwakel, the netherlands",Netherlands,direct_match
"de pere, wisconsin",Germany,direct_match
"debrecen, hungary",Hungary,direct_match
"decatur, georgia",Georgia,direct_match
"dedestapolcsany, hungary",Hungary,direct_match
dehiwela,Unknown,unknown_fallback_cache
"dehradun, india",India,direct_match
"dej, romania",Romania,direct_match
"delft, the netherlands",Netherlands,direct_match
delhi,Unknown,unknown_fallback_cache
"delhi, india",India,direct_match
"delta, canada",Canada,direct_match
"den bosch, the netherlands",Netherlands,direct_match
denmark,Denmark,direct_match
"denmark, australia",Australia,direct_match
"denmark, maine",Denmark,direct_match
"denpasar, indonesia",Indonesia,direct_match
"denver, colorado",Unknown,unknown_fallback_cache
derby,Unknown,unknown_fallback_cache
"derby, united kingdom",United Kingdom,direct_match
derbyshire,Unknown,unknown_fallback_cache
"derbyshire, united kingdom",United Kingdom,direct_match
"dereham, united kingdom",United Kingdom,direct_match
"derry, united kingdom",United Kingdom,direct_match
"detroit, michigan",Unknown,unknown_fallback_cache
deutschland,Unknown,unknown_fallback_cache
"deventer, the netherlands",Netherlands,direct_match
devizes,Unknown,unknown_fallback_cache
"devizes, united kingdom",United Kingdom,direct_match
devon,Unknown,unknown_fallback_cache
"devon, united kingdom",United Kingdom,direct_match
devonport,Unknown,unknown_fallback_cache
"devonport, new zealand",New Zealand,direct_match
"dewsbury, united kingdom",United Kingdom,direct_match
"dhahran, saudi arabia",Saudi Arabia,direct_match
"dhaka city, bangladesh",Bangladesh,direct_match
"dharamsala, india",India,direct_match
dhigurah island,Unknown,unknown_fallback_cache
"dholpur, india",India,direct_match
"diamond bar, california",Unknown,unknown_fallback_cache
"dibba al bay ah, oman",Oman,direct_match
"dibba al fujairah, united arab emirates",United Arab Emirates,direct_match
"didcot, united kingdom",United Kingdom,direct_match
"dieppe, canada",Canada,direct_match
disneyland paris,Unknown,unknown_fallback_cache
"diss, united kingdom",United Kingdom,direct_match
"ditchling, united kingdom",United Kingdom,direct_match
dk,Denmark,direct_match
"dnipro, ukraine",Ukraine,direct_match
doha,Unknown,unknown_fallback_cache
"doha, ad dawhah, qatar",Qatar,direct_match
"doha, qatar",Qatar,direct_match
"dolgellau, united kingdom",United Kingdom,direct_match
"dolgoprudny, russia",Unknown,unknown_fallback_cache
"dollard-des-ormeaux, canada",Canada,direct_match
doncaster,Unknown,unknown_fallback_cache
"doncaster, united kingdom",United Kingdom,direct_match
"dongo, italy",Italy,direct_match
"donovaly, slovakia",Slovakia,direct_match
"dorchester, united kingdom",United Kingdom,direct_match
dorking,Unknown,unknown_fallback_cache
"dorking, united kingdom",United Kingdom,direct_match
"dorset, united kingdom",United Kingdom,direct_match
"dortmund, germany",Germany,direct_match
"douala, cameroon",Cameroon,direct_match
"douglas, united kingdom",United Kingdom,direct_match
"dover, new hampshire",Unknown,unknown_fallback_cache
"down thomas, united kingdom",United Kingdom,direct_match
"downham market, united kingdom",United Kingdom,direct_match
"downton, united kingdom",United Kingdom,direct_match
"drammen municipality, norway",Norway,direct_match
"drammen, norway",Norway,direct_match
"dresden, germany",Germany,direct_match
"driffield, united kingdom",United Kingdom,direct_match
"drysdale, australia",Australia,direct_match
dubai,Unknown,unknown_fallback_cache
"dubai, dubai, united arab emirates",United Arab Emirates,direct_match
"dubai, united arab emirates",United Arab Emirates,direct_match
"dubbo, australia",Australia,direct_match
dublin,Unknown,unknown_fallback_cache
"dublin, ireland",Ireland,direct_match
"dubrovnik, croatia",Croatia,direct_match
"dumaguete city, philippines",Philippines,direct_match
"dumbarton, united kingdom",United Kingdom,direct_match
"dumfries and galloway, united kingdom",United Kingdom,direct_match
"dundee, united kingdom",United Kingdom,direct_match
dunedin,Unknown,unknown_fallback_cache
"dunedin, new zealand",New Zealand,direct_match
"dunkeld west, south africa",South Africa,direct_match
"dunoon, united kingdom",United Kingdom,direct_match
"dunsborough, australia",Australia,direct_match
"dunstable, united kingdom",United Kingdom,direct_match
"durban, south africa",South Africa,direct_match
"durgapur, india",India,direct_match
durham,Unknown,unknown_fallback_cache
"durham, north carolina",Unknown,unknown_fallback_cache
"durham, united kingdom",United Kingdom,direct_match
"dursley, united kingdom",United Kingdom,direct_match
"dusseldorf, germany",Germany,direct_match
east anglia,Unknown,unknown_fallback_cache
"east anglia, uk",United Kingdom,direct_match
"east anglia, united kingdom",United Kingdom,direct_match
"east greenbush, new york",Unknown,unknown_fallback_cache
"east grinstead, united kingdom",United Kingdom,direct_match
"east molesey, united kingdom",United Kingdom,direct_match
east sussex,Unknown,unknown_fallback_cache
"east sussex, united kingdom",United Kingdom,direct_match
"eastbourne, united kingdom",United Kingdom,direct_match
"eastleigh, united kingdom",United Kingdom,direct_match
eastofeast,Unknown,unknown_fallback_cache
"eatontown, new jersey",Jersey,direct_match
"eching, germany",Germany,direct_match
"echuca, australia",Australia,direct_match
"edava, india",India,direct_match
"eden prairie, minnesota",Unknown,unknown_fallback_cache
"edenton, north carolina",Unknown,unknown_fallback_cache
"edgware, united kingdom",United Kingdom,direct_match
edinburgh,Unknown,unknown_fallback_cache
"edinburgh, united kingdom",United Kingdom,direct_match
edison,Unknown,unknown_fallback_cache
"edmond, oklahoma",Unknown,unknown_fallback_cache
"edmonton, canada",Canada,direct_match
"eelde, the netherlands",Netherlands,direct_match
"egmond-binnen, the netherlands",Netherlands,direct_match
"eigersund municipality, norway",Norway,direct_match
"eilat, israel",Israel,direct_match
"eindhoven, noord-brabant, netherlands",Netherlands,direct_match
"eindhoven, the netherlands",Netherlands,direct_match
"ekero, sweden",Sweden,direct_match
"el dorado hills, california",Unknown,unknown_fallback_cache
"el nido, philippines",Philippines,direct_match
"el paso, texas",Unknown,unknown_fallback_cache
"el valle de anton, panama",Panama,direct_match
"elanora, australia",Australia,direct_match
"ellesmere port, united kingdom",United Kingdom,direct_match
"elstree, united kingdom",United Kingdom,direct_match
"ely, united kingdom",United Kingdom,direct_match
"emersons green, united kingdom",United Kingdom,direct_match
"emirate of abu dhabi, united arab emirates",United Arab Emirates,direct_match
"emirate of dubai, united arab emirates",United Arab Emirates,direct_match
"emirate of sharjah, united arab emirates",United Arab Emirates,direct_match
"emu park, australia",Australia,direct_match
"enfield, united kingdom",United Kingdom,direct_match
england,United Kingdom,direct_match
"england, united kingdom",United Kingdom,direct_match
"englewood, florida",Unknown,unknown_fallback_cache
"enkhuizen, the netherlands",Netherlands,direct_match
"enkoping, sweden",Sweden,direct_match
"ennis, ireland",Ireland,direct_match
"enschede, the netherlands",Netherlands,direct_match
"epping, united kingdom",United Kingdom,direct_match
"epsom, united kingdom",United Kingdom,direct_match
"ericeira, portugal",Portugal,direct_match
"ernakulam, india",India,direct_match
"erskine, united kingdom",United Kingdom,direct_match
"esbjerg, denmark",Denmark,direct_match
"esher, united kingdom",United Kingdom,direct_match
"esperance, australia",Australia,direct_match
"espoo, finland",Finland,direct_match
essen,Unknown,unknown_fallback_cache
"essen, belgium",Belgium,direct_match
"essen, germany",Germany,direct_match
"essendon, australia",Australia,direct_match
essex,Unknown,unknown_fallback_cache
essex england,United Kingdom,direct_match
essex uk,United Kingdom,direct_match
"essex, united kingdom",United Kingdom,direct_match
"etchingham, united kingdom",United Kingdom,direct_match
"etna green, indiana",Unknown,unknown_fallback_cache
europe,Unknown,unknown_fallback_cache
"euskirchen, germany",Germany,direct_match
"evanton, united kingdom",United Kingdom,direct_match
everywhere usa,United States,direct_match
examba,Unknown,unknown_fallback_cache
"exeter, united kingdom",United Kingdom,direct_match
"exmouth, united kingdom",United Kingdom,direct_match
"eye, united kingdom",United Kingdom,direct_match
"failsworth, united kingdom",United Kingdom,direct_match
"fair oaks, california",Unknown,unknown_fallback_cache
"fairlight, united kingdom",United Kingdom,direct_match
"faja grande, portugal",Portugal,direct_match
"falkirk, united kingdom",United Kingdom,direct_match
"falls church, virginia",Unknown,unknown_fallback_cache
"falmouth, united kingdom",United Kingdom,direct_match
"fareham, united kingdom",United Kingdom,direct_match
"faridabad, india",India,direct_match
"farjestaden, sweden",Sweden,direct_match
"farnborough, united kingdom",United Kingdom,direct_match
"farnham, united kingdom",United Kingdom,direct_match
"faro, portugal",Portugal,direct_match
"farwaniya, kuwait",Kuwait,direct_match
"federal way, washington",Unknown,unknown_fallback_cache
"fehraltorf, switzerland",Switzerland,direct_match
"felbridge, united kingdom",United Kingdom,direct_match
"feltham, united kingdom",United Kingdom,direct_match
"felton, united kingdom",United Kingdom,direct_match
"fernandina beach, florida",Unknown,unknown_fallback_cache
"ferntree gully, australia",Australia,direct_match
"fethiye, turkiye",Unknown,unknown_fallback_cache
fife,Unknown,unknown_fallback_cache
finland,Finland,direct_match
"fishers, indiana",Unknown,unknown_fallback_cache
fitjar,Unknown,unknown_fallback_cache
"fjenneslev, denmark",Denmark,direct_match
"flagstaff, arizona",Unknown,unknown_fallback_cache
"flaxton, australia",Australia,direct_match
"fleetwood, united kingdom",United Kingdom,direct_match
"flint hills, kansas",Unknown,unknown_fallback_cache
"florence, alabama",Unknown,unknown_fallback_cache
"florence, italy",Italy,direct_match
florida,Unknown,unknown_fallback_cache
"florida panhandle, florida",Unknown,unknown_fallback_cache
"folkestone, united kingdom",United Kingdom,direct_match
"fonte, italy",Italy,direct_match
"forest row, uk",United Kingdom,direct_match
"foristell, missouri",Unknown,unknown_fallback_cache
"forrestfield, australia",Australia,direct_match
"fort collins, colorado",Unknown,unknown_fallback_cache
"fort langley, canada",Canada,direct_match
"fort pierce, florida",Unknown,unknown_fallback_cache
"fort walton beach, florida",Unknown,unknown_fallback_cache
"four marks, united kingdom",United Kingdom,direct_match
"fox island, washington",Unknown,unknown_fallback_cache
"framingham, massachusetts",Unknown,unknown_fallback_cache
france,France,direct_match
"frankfurt oder, germany",Germany,direct_match
"frankfurt, germany",Germany,direct_match
"frankston, australia",Australia,direct_match
"frankton, new zealand",New Zealand,direct_match
"franschhoek, south africa",South Africa,direct_match
"frauenfeld, switzerland",Switzerland,direct_match
"fredericia, denmark",Denmark,direct_match
"fredericton, canada",Canada,direct_match
"frederiksberg, denmark",Denmark,direct_match
"fredrikstad, norway",Norway,direct_match
"freiburg im breisgau, germany",Germany,direct_match
"freistadt, austria",Austria,direct_match
"fremantle, australia",Australia,direct_match
french riviera,Unknown,unknown_fallback_cache
"frettenham, united kingdom",United Kingdom,direct_match
"friday harbor, washington",Unknown,unknown_fallback_cache
"frisco, texas",Unknown,unknown_fallback_cache
"frodsham, united kingdom",United Kingdom,direct_match
"frome, united kingdom",United Kingdom,direct_match
"fuente librilla, spain",Spain,direct_match
fuerteventura,Unknown,unknown_fallback_cache
"fuerteventura, spain",Spain,direct_match
"fuerth, germany",Germany,direct_match
"fujairah, united arab emirates",United Arab Emirates,direct_match
"fulbourn, united kingdom",United Kingdom,direct_match
"fullarton, australia",Australia,direct_match
"gaborone, botswana",Botswana,direct_match
galle,Unknown,unknown_fallback_cache
"galway, ireland",Ireland,direct_match
"gandhinagar, india",India,direct_match
"gangtok, india",India,direct_match
"gastonia, north carolina",Unknown,unknown_fallback_cache
"gateshead, united kingdom",United Kingdom,direct_match
"gauteng, south africa",South Africa,direct_match
"gavere, belgium",Belgium,direct_match
"gdansk, poland",Poland,direct_match
"gdynia, poland",Poland,direct_match
"geel, belgium",Belgium,direct_match
"geelong, australia",Australia,direct_match
gelderland,Unknown,unknown_fallback_cache
gemert,Unknown,unknown_fallback_cache
geneva,Unknown,unknown_fallback_cache
"geneva, switzerland",Switzerland,direct_match
"genk, belgium",Belgium,direct_match
"genoa, italy",Italy,direct_match
gent,Unknown,unknown_fallback_cache
"gentofte municipality, denmark",Denmark,direct_match
"george town, australia",Australia,direct_match
"george town, malaysia",Malaysia,direct_match
"georgetown, canada",Canada,direct_match
"georgetown, texas",Unknown,unknown_fallback_cache
"geraldton, australia",Australia,direct_match
"germantown, tennessee",Unknown,unknown_fallback_cache
germany,Germany,direct_match
gerrards cross,Unknown,unknown_fallback_cache
"gerrards cross, united kingdom",United Kingdom,direct_match
"ghaziabad, india",India,direct_match
"ghent, belgium",Belgium,direct_match
gibraltar,Gibraltar,direct_match
"giessen, germany",Germany,direct_match
"gillingham, united kingdom",United Kingdom,direct_match
"gistel, belgium",Belgium,direct_match
"gladesville, australia",Australia,direct_match
glasgow,Unknown,unknown_fallback_cache
"glasgow, united kingdom",United Kingdom,direct_match
"glen waverley, australia",Australia,direct_match
"glencoe, united kingdom",United Kingdom,direct_match
"glossop, united kingdom",United Kingdom,direct_match
"gloucester, united kingdom",United Kingdom,direct_match
gloucestershire,Unknown,unknown_fallback_cache
"gloucestershire, united kingdom",United Kingdom,direct_match
"glowe, germany",Germany,direct_match
"gniezno, poland",Poland,direct_match
"goa, india",India,direct_match
"godalming, united kingdom",United Kingdom,direct_match
"goennheim, germany",Germany,direct_match
gold coast,Unknown,unknown_fallback_cache
gold coast australia,Australia,direct_match
"gold coast, australia",Australia,direct_match
"golden sands, bulgaria",Bulgaria,direct_match
"golden, colorado",Unknown,unknown_fallback_cache
"golfe-juan vallauris, france",France,direct_match
"gooik, belgium",Belgium,direct_match
"goole, united kingdom",United Kingdom,direct_match
"gorefield, united kingdom",United Kingdom,direct_match
"gorey, ireland",Ireland,direct_match
"goring-on thames, united kingdom",United Kingdom,direct_match
"gosford, australia",Australia,direct_match
"gosselies, belgium",Belgium,direct_match
"gothenburg, sweden",Sweden,direct_match
"goudhurst, united kingdom",United Kingdom,direct_match
"goulburn, australia",Australia,direct_match
"gourock, united kingdom",United Kingdom,direct_match
"grafton, australia",Australia,direct_match
"gran canaria, spain",Spain,direct_match
"granada, spain",Spain,direct_match
"granby, canada",Canada,direct_match
grand baie,Unknown,unknown_fallback_cache
"grand baie, riviere du rempart, mauritius",Mauritius,direct_match
grand cayman,Unknown,unknown_fallback_cache
"grand rapids, michigan",Unknown,unknown_fallback_cache
"grande prairie, canada",Canada,direct_match
"grantham, united kingdom",United Kingdom,direct_match
"grass valley, california",Unknown,unknown_fallback_cache
"grays thurrock, united kingdom",United Kingdom,direct_match
"graz, austria",Austria,direct_match
"great bircham, united kingdom",United Kingdom,direct_match
"great coxwell, united kingdom",United Kingdom,direct_match
"great dunmow, united kingdom",United Kingdom,direct_match
"great malvern, united kingdom",United Kingdom,direct_match
"great missenden, united kingdom",United Kingdom,direct_match
"great yarmouth, united kingdom",United Kingdom,direct_match
"greater adelaide, australia",Australia,direct_match
"greater johannesburg, south africa",South Africa,direct_match
"greater london, united kingdom",United Kingdom,direct_match
"greater manchester, united kingdom",United Kingdom,direct_match
"greater melbourne, australia",Australia,direct_match
"greater newcastle, australia",Australia,direct_match
"greater noida, india",India,direct_match
"greater perth, australia",Australia,direct_match
"greater shepparton, australia",Australia,direct_match
"greater sydney, australia",Australia,direct_match
"greenford, united kingdom",United Kingdom,direct_match
"greenock, united kingdom",United Kingdom,direct_match
"greentown, pennsylvania",Unknown,unknown_fallback_cache
"greenvale, australia",Australia,direct_match
"greenville, south carolina",Unknown,unknown_fallback_cache
"greenwood village, colorado",Unknown,unknown_fallback_cache
"greenwood, missouri",Unknown,unknown_fallback_cache
"grenoble, france",France,direct_match
"greve, denmark",Denmark,direct_match
"greymouth, new zealand",New Zealand,direct_match
"griffith, australia",Australia,direct_match
"grimsby, united kingdom",United Kingdom,direct_match
"groningen, the netherlands",Netherlands,direct_match
"gropada, italy",Italy,direct_match
"grosswilfersdorf, austria",Austria,direct_match
"gryon, switzerland",Switzerland,direct_match
"guam, mariana islands",Guam,direct_match
"guangzhou, china",China,direct_match
guatemala,Guatemala,direct_match
"guernsey, channel islands",Guernsey,direct_match
"guernsey, united kingdom",United Kingdom,direct_match
"guignen, france",France,direct_match
guildford,Unknown,unknown_fallback_cache
"guildford, united kingdom",United Kingdom,direct_match
"guisborough, united kingdom",United Kingdom,direct_match
"gumusluk, turkiye",Unknown,unknown_fallback_cache
"gunnedah, australia",Australia,direct_match
"gunnison, colorado",Unknown,unknown_fallback_cache
gurgaon,Unknown,unknown_fallback_cache
"gurgaon district, india",India,direct_match
"gurugram gurgaon, india",India,direct_match
"gympie, australia",Australia,direct_match
"haacht, belgium",Belgium,direct_match
"haarlem, the netherlands",Netherlands,direct_match
hadahaa island,Unknown,unknown_fallback_cache
"hagley, united kingdom",United Kingdom,direct_match
haifa,Unknown,unknown_fallback_cache
"haifa, israel",Israel,direct_match
"hailsham, united kingdom",United Kingdom,direct_match
"halesowen, united kingdom",United Kingdom,direct_match
"halifax, canada",Canada,direct_match
"halifax, nova scotia",Unknown,unknown_fallback_cache
"halifax, united kingdom",United Kingdom,direct_match
"halkirk, united kingdom",United Kingdom,direct_match
"halstead, united kingdom",United Kingdom,direct_match
"hamar, norway",Norway,direct_match
"hambrook, united kingdom",United Kingdom,direct_match
"hamburg, deutschland",Unknown,unknown_fallback_cache
"hamburg, germany",Germany,direct_match
"hameenlinna, finland",Finland,direct_match
"hamilton, bermuda",Bermuda,direct_match
"hamilton, canada",Canada,direct_match
"hamilton, new zealand",New Zealand,direct_match
"hamilton, on",Unknown,unknown_fallback_cache
"hammel, denmark",Denmark,direct_match
hampshire,Unknown,unknown_fallback_cache
hampshire uk,United Kingdom,direct_match
"hampshire, united kingdom",United Kingdom,direct_match
hampton,Unknown,unknown_fallback_cache
"hangzhou, china",China,direct_match
"hannover, germany",Germany,direct_match
hanoi,Unknown,unknown_fallback_cache
"hanoi, vietnam",Viet Nam,direct_match
"hanwell, united kingdom",United Kingdom,direct_match
"harare, zimbabwe",Zimbabwe,direct_match
"haridwar, india",India,direct_match
"haringey, united kingdom",United Kingdom,direct_match
"harleston, united kingdom",United Kingdom,direct_match
"harlow, united kingdom",United Kingdom,direct_match
"harmondsworth, united kingdom",United Kingdom,direct_match
harpenden,Unknown,unknown_fallback_cache
"harpenden, united kingdom",United Kingdom,direct_match
"harrogate, united kingdom",United Kingdom,direct_match
"harrow, united kingdom",United Kingdom,direct_match
"hartford, united kingdom",United Kingdom,direct_match
"hartlepool, united kingdom",United Kingdom,direct_match
"haslemere, united kingdom",United Kingdom,direct_match
"hasselt, belgium",Belgium,direct_match
"hastings, michigan",Unknown,unknown_fallback_cache
"hastings, new zealand",New Zealand,direct_match
"hastings, united kingdom",United Kingdom,direct_match
"hatfield, pennsylvania",Unknown,unknown_fallback_cache
"hatfield, united kingdom",United Kingdom,direct_match
"hatta, united arab emirates",United Arab Emirates,direct_match
"hauts-de-france, france",France,direct_match
"havelock north, new zealand",New Zealand,direct_match
"hawalli governorate, kuwait",Kuwait,direct_match
"hawalli, kuwait",Kuwait,direct_match
"hawkhurst, united kingdom",United Kingdom,direct_match
"haworth, united kingdom",United Kingdom,direct_match
"headingley, united kingdom",United Kingdom,direct_match
heathcote junction australia,Australia,direct_match
"heathfield, united kingdom",United Kingdom,direct_match
"hedel, the netherlands",Netherlands,direct_match
"heerhugowaard, the netherlands",Netherlands,direct_match
"heeze, the netherlands",Netherlands,direct_match
"heidelberg, germany",Germany,direct_match
"heilbronn, germany",Germany,direct_match
"heiloo, the netherlands",Netherlands,direct_match
"heist-op-den-berg, belgium",Belgium,direct_match
"helena, montana",Unknown,unknown_fallback_cache
"helensburgh, united kingdom",United Kingdom,direct_match
"hellerup, denmark",Denmark,direct_match
"hellingly, united kingdom",United Kingdom,direct_match
"helsingborg, sweden",Sweden,direct_match
helsinki,Unknown,unknown_fallback_cache
"helsinki, finland",Finland,direct_match
helston,Unknown,unknown_fallback_cache
"hemel hempstead, united kingdom",United Kingdom,direct_match
"hendaye, france",France,direct_match
"henderson, nevada",Unknown,unknown_fallback_cache
"henfield, united kingdom",United Kingdom,direct_match
"hengelo, the netherlands",Netherlands,direct_match
"henley beach, australia",Australia,direct_match
"heppenheim, germany",Germany,direct_match
"herault, france",France,direct_match
"hereford, united kingdom",United Kingdom,direct_match
"herefordshire, united kingdom",United Kingdom,direct_match
"heric, france",France,direct_match
"herlev, denmark",Denmark,direct_match
"hermanus, south africa",South Africa,direct_match
"herne bay, united kingdom",United Kingdom,direct_match
"herten, the netherlands",Netherlands,direct_match
"hertford, united kingdom",United Kingdom,direct_match
hertfordshire,Unknown,unknown_fallback_cache
"hertfordshire, united kingdom",United Kingdom,direct_match
herts,Unknown,unknown_fallback_cache
"hervey bay, australia",Australia,direct_match
"herzliya, israel",Israel,direct_match
"hessle, united kingdom",United Kingdom,direct_match
"heverlee, belgium",Belgium,direct_match
"hexham, united kingdom",United Kingdom,direct_match
"heysham, united kingdom",United Kingdom,direct_match
high peak,Unknown,unknown_fallback_cache
"high wycombe, united kingdom",United Kingdom,direct_match
"highland park, illinois, united states",United States,direct_match
"highlands, new jersey",Jersey,direct_match
hikkaduwa,Unknown,unknown_fallback_cache
"hildesheim, germany",Germany,direct_match
"hilsenheim, france",France,direct_match
"hilversum, the netherlands",Netherlands,direct_match
"hinckley, united kingdom",United Kingdom,direct_match
"hinsdale, illinois",Unknown,unknown_fallback_cache
"hirwaun, united kingdom",United Kingdom,direct_match
"hisar, india",India,direct_match
"hitchin, united kingdom",United Kingdom,direct_match
"ho chi minh city, vietnam",Viet Nam,direct_match
"hobart, australia",Australia,direct_match
"hockley, united kingdom",United Kingdom,direct_match
"hod hasharon, israel",Israel,direct_match
"hoedspruit, south africa",South Africa,direct_match
"hoi an, vietnam",Viet Nam,direct_match
"holbeach, united kingdom",United Kingdom,direct_match
"holbeton, united kingdom",United Kingdom,direct_match
"holbox island, mexico",Mexico,direct_match
"hollywood, florida",Unknown,unknown_fallback_cache
"holmfirth, united kingdom",United Kingdom,direct_match
"holon, israel",Israel,direct_match
"holte, denmark",Denmark,direct_match
"hometown, finland",Finland,direct_match
"honefoss, norway",Norway,direct_match
hong kong,Hong Kong,direct_match
"hong kong, china",Hong Kong,direct_match
"honolulu, hawaii",Unknown,unknown_fallback_cache
"hooghly, india",India,direct_match
"hook, united kingdom",United Kingdom,direct_match
"hoorn, the netherlands",Netherlands,direct_match
"hoover, alabama",Unknown,unknown_fallback_cache
"hordle, united kingdom",United Kingdom,direct_match
"horley, united kingdom",United Kingdom,direct_match
"hornchurch, united kingdom",United Kingdom,direct_match
"horomerice, czech republic",Czechia,direct_match
"horsforth, united kingdom",United Kingdom,direct_match
"horsham, australia",Australia,direct_match
"horsham, united kingdom",United Kingdom,direct_match
"horwich, united kingdom",United Kingdom,direct_match
houghton regis,Unknown,unknown_fallback_cache
"houston, texas",Unknown,unknown_fallback_cache
"hove, united kingdom",United Kingdom,direct_match
"huddersfield, united kingdom",United Kingdom,direct_match
"hue, vietnam",Viet Nam,direct_match
"huismes, france",France,direct_match
huissen,Unknown,unknown_fallback_cache
"huissen, the netherlands",Netherlands,direct_match
hull,Unknown,unknown_fallback_cache
hull uk,United Kingdom,direct_match
"hull, uk",United Kingdom,direct_match
"huntingdon, united kingdom",United Kingdom,direct_match
"huntington beach, california",Unknown,unknown_fallback_cache
