normalized_location,country,status
"assendelft, the netherlands",Netherlands,direct_match
"astana, kazakhstan",Kazakhstan,direct_match
"astoria, new york",Unknown,unknown_fallback_cache
"athens, greece",Greece,direct_match
"atlacomulco, mexico",Mexico,direct_match
"atlanta, georgia",Georgia,direct_match
"auburn, maine",Unknown,unknown_fallback_cache
"auchtermuchty, scotland, united kingdom",United Kingdom,direct_match
auckland,Unknown,unknown_fallback_cache
"auckland central, new zealand",New Zealand,direct_match
"auckland, new zealand",New Zealand,direct_match
"auroville, india",India,direct_match
aussie,Unknown,unknown_fallback_cache
"austell, georgia",Georgia,direct_match
"austin, texas",Unknown,unknown_fallback_cache
australia,Australia,direct_match
"australia plains, australia",Australia,direct_match
"australian capital territory, australia",Australia,direct_match
"austrey, united kingdom",United Kingdom,direct_match
austria,Austria,direct_match
"aventura, florida, usa",United States,direct_match
"avoca beach, australia",Australia,direct_match
"awasa, ethiopia",Ethiopia,direct_match
"aylesbury, united kingdom",United Kingdom,direct_match
"ayr, united kingdom",United Kingdom,direct_match
"ayrshire, scotland",United Kingdom,direct_match
"baarn, the netherlands",Netherlands,direct_match
"babylon, new york",Unknown,unknown_fallback_cache
"bacolod, philippines",Philippines,direct_match
"bacup, united kingdom",United Kingdom,direct_match
"bad durkheim, germany",Germany,direct_match
"bad krozingen, germany",Germany,direct_match
"baden, switzerland",Switzerland,direct_match
bahrain,Bahrain,direct_match
"bairnsdale, australia",Australia,direct_match
"bajawa, indonesia",Indonesia,direct_match
"baku, azerbaijan",Azerbaijan,direct_match
"balashikha, russia",Unknown,unknown_fallback_cache
"balclutha, new zealand",New Zealand,direct_match
"baldock, united kingdom",United Kingdom,direct_match
bali,Unknown,unknown_fallback_cache
"bali, indonesia",Indonesia,direct_match
"ballarat, australia",Australia,direct_match
"balmain, australia",Australia,direct_match
"balmoral, australia",Australia,direct_match
"baltimore, maryland",Unknown,unknown_fallback_cache
"baltimore, united states",United States,direct_match
"bamako, mali",Mali,direct_match
"banbury, united kingdom",United Kingdom,direct_match
"bandar abbas, iran","Iran, Islamic Republic of",direct_match
"bandar seri begawan, brunei darussalam",Brunei Darussalam,direct_match
bandaragama,Unknown,unknown_fallback_cache
"bandung, indonesia",Indonesia,direct_match
"banff, canada",Canada,direct_match
bangalore,Unknown,unknown_fallback_cache
"bangalore district, india",India,direct_match
"bangalore, india",India,direct_match
"bangalore, karnataka, india",India,direct_match
bangkok,Unknown,unknown_fallback_cache
"bangkok, thailand",Thailand,direct_match
bangladesh,Bangladesh,direct_match
"bangor, united kingdom",United Kingdom,direct_match
"banksia beach, australia",Australia,direct_match
banwell,Unknown,unknown_fallback_cache
barcelona,Unknown,unknown_fallback_cache
"barcelona, spain",Spain,direct_match
"barendrecht, the netherlands",Netherlands,direct_match
"barka, oman",Oman,direct_match
"barnard castle, united kingdom",United Kingdom,direct_match
"barnet, united kingdom",United Kingdom,direct_match
"barnham, united kingdom",United Kingdom,direct_match
"barnoldswick, united kingdom",United Kingdom,direct_match
"barnsley, united kingdom",United Kingdom,direct_match
"barnstaple, united kingdom",United Kingdom,direct_match
"barrie, canada",Canada,direct_match
"barrow-in-furness, united kingdom",United Kingdom,direct_match
"barto, pa",Panama,direct_match
"barueri, sp",Unknown,unknown_fallback_cache
basel,Unknown,unknown_fallback_cache
"basel, switzerland",Switzerland,direct_match
"basildon, united kingdom",United Kingdom,direct_match
basingstoke,Unknown,unknown_fallback_cache
"basingstoke, united kingdom",United Kingdom,direct_match
"batam, indonesia",Indonesia,direct_match
"bath, united kingdom",United Kingdom,direct_match
"bathmen, the netherlands",Netherlands,direct_match
"bathurst, australia",Australia,direct_match
"batroun, lebanon",Lebanon,direct_match
"battambang province, cambodia",Cambodia,direct_match
"bavaria, germany",Germany,direct_match
bay area,Unknown,unknown_fallback_cache
"bay of plenty region, new zealand",New Zealand,direct_match
"beaumaris, australia",Australia,direct_match
"beavercreek, ohio",Unknown,unknown_fallback_cache
"beckenham, united kingdom",United Kingdom,direct_match
"bedale, united kingdom",United Kingdom,direct_match
"bedford, united kingdom",United Kingdom,direct_match
bedfordshire,Unknown,unknown_fallback_cache
"bedfordview, south africa",South Africa,direct_match
"bedlington, united kingdom",United Kingdom,direct_match
"bedworth, england, united kingdom",United Kingdom,direct_match
"beersheba, israel",Israel,direct_match
"begues, spain",Spain,direct_match
beijing,Unknown,unknown_fallback_cache
"beijing, china",China,direct_match
"beilen, the netherlands",Netherlands,direct_match
"beirut, lebanon",Lebanon,direct_match
"beitun, taichung",Unknown,unknown_fallback_cache
"belem, pa",Panama,direct_match
belfast,Unknown,unknown_fallback_cache
"belfast, united kingdom",United Kingdom,direct_match
"belgaum, india",India,direct_match
belgium,Belgium,direct_match
"belgrade, serbia",Serbia,direct_match
"belinchon, spain",Spain,direct_match
"belize cayes, belize",Belize,direct_match
"bellevue, washington",Unknown,unknown_fallback_cache
"bellingen, australia",Australia,direct_match
"bellshill, united kingdom",United Kingdom,direct_match
"belo horizonte, mg",Madagascar,direct_match
"belrose, australia",Australia,direct_match
"belthangady, india",India,direct_match
"bemmel, the netherlands",Netherlands,direct_match
bendigo,Unknown,unknown_fallback_cache
"bendigo, australia",Australia,direct_match
"bendigo, victoria, australia",Australia,direct_match
"bengaluru, india",India,direct_match
"benidorm, spain",Spain,direct_match
"benson, united kingdom",United Kingdom,direct_match
bentota,Unknown,unknown_fallback_cache
bequia,Unknown,unknown_fallback_cache
"bere regis, united kingdom",United Kingdom,direct_match
"berga, spain",Spain,direct_match
"bergamo, italy",Italy,direct_match
"bergen op zoom, the netherlands",Netherlands,direct_match
"bergen, norway",Norway,direct_match
